snp_id,ingredient_id,benefit_mechanism,recommendation_strength,evidence_level,narrative
107,89,Reduces inflammation and soothes skin,First-line,Strong,"Centella Asiatica soothes inflamed skin, beneficial for IL6/TNF-α-driven overreaction."
108,90,Reduces inflammation and soothes skin,First-line,Strong,Zinc Oxide provides a calming effect for IL6/TNF-α inflammatory flare-ups and protects from UV.
106,90,Reduces inflammation and soothes skin,First-line,Strong,Zinc Oxide provides a calming effect for IL6/TNF-α inflammatory flare-ups and protects from UV.
107,90,Reduces inflammation and soothes skin,First-line,Strong,Zinc Oxide provides a calming effect for IL6/TNF-α inflammatory flare-ups and protects from UV.
106,79,Reduces inflammation and soothes skin,First-line,Strong,Green Tea polyphenols reduce inflammatory mediators that IL6/TNF-α variants may overproduce.
108,79,Reduces inflammation and soothes skin,First-line,Strong,Green Tea polyphenols reduce inflammatory mediators that IL6/TNF-α variants may overproduce.
107,79,Reduces inflammation and soothes skin,First-line,Strong,Green Tea polyphenols reduce inflammatory mediators that IL6/TNF-α variants may overproduce.
106,93,Reduces inflammation and soothes skin,First-line,Strong,Azelaic Acid helps regulate inflammation and redness common in IL6/TNF-α gene carriers.
107,93,Reduces inflammation and soothes skin,First-line,Strong,Azelaic Acid helps regulate inflammation and redness common in IL6/TNF-α gene carriers.
108,93,Reduces inflammation and soothes skin,First-line,Strong,Azelaic Acid helps regulate inflammation and redness common in IL6/TNF-α gene carriers.
111,81,Supports collagen production and skin structure,Second-line,Moderate,Retinoids can reduce MMP1 collagen breakdown and boost COL1A1-driven collagen formation.
110,81,Supports collagen production and skin structure,Second-line,Moderate,Retinoids can reduce MMP1 collagen breakdown and boost COL1A1-driven collagen formation.
110,82,Supports collagen production and skin structure,Second-line,Moderate,"Peptides support skin’s structural proteins, offsetting MMP1’s collagen breakdown."
111,82,Supports collagen production and skin structure,Second-line,Moderate,"Peptides support skin’s structural proteins, offsetting MMP1’s collagen breakdown."
111,77,Supports collagen production and skin structure,Second-line,Moderate,Vitamin C defends against MMP1-induced damage and enhances COL1A1 for stronger collagen.
110,77,Supports collagen production and skin structure,Second-line,Moderate,Vitamin C defends against MMP1-induced damage and enhances COL1A1 for stronger collagen.
111,94,Supports collagen production and skin structure,Second-line,Moderate,"Bakuchiol gently encourages collagen renewal, helping balance MMP1/COL1A1 changes."
110,94,Supports collagen production and skin structure,Second-line,Moderate,"Bakuchiol gently encourages collagen renewal, helping balance MMP1/COL1A1 changes."
113,77,Provides antioxidant support,Second-line,Moderate,Vitamin C bolsters antioxidant defenses for SOD2/CAT variants vulnerable to oxidative stress.
112,77,Provides antioxidant support,Second-line,Moderate,Vitamin C bolsters antioxidant defenses for SOD2/CAT variants vulnerable to oxidative stress.
112,78,Provides antioxidant support,Second-line,Moderate,Vitamin E protects cell membranes from free-radical damage when SOD2/CAT pathways are taxed.
113,78,Provides antioxidant support,Second-line,Moderate,Vitamin E protects cell membranes from free-radical damage when SOD2/CAT pathways are taxed.
112,80,Provides antioxidant support,Second-line,Moderate,"Resveratrol partners with SOD2/CAT to neutralize excess ROS, reducing oxidative burden."
113,80,Provides antioxidant support,Second-line,Moderate,"Resveratrol partners with SOD2/CAT to neutralize excess ROS, reducing oxidative burden."
112,79,Provides antioxidant support,Second-line,Moderate,Green Tea’s EGCG helps offset ROS in SOD2/CAT-deficient antioxidant responses.
113,79,Provides antioxidant support,Second-line,Moderate,Green Tea’s EGCG helps offset ROS in SOD2/CAT-deficient antioxidant responses.
